Club,Value
Bayern Munich,936700000
Bayer 04 Leverkusen,635100000
RB Leipzig,517900000
Borussia Dortmund,474900000
VfB Stuttgart,313730000
Eintracht Frankfurt,279700000
VfL Wolfsburg,215000000
SC Freiburg,169050000
TSG 1899 Hoffenheim,166150000
Borussia Mönchengladbach,139700000
1.FC Union Berlin,122180000
SV Werder Bremen,119350000
FC Augsburg,99330000
1.FSV Mainz 05,93450000
1.FC Heidenheim 1846,63300000
VfL Bochum,60750000
FC St. Pauli,40730000
Holstein Kiel,36300000
