Club,Value
Sporting CP,443500000
FC Porto,351750000
SL Benfica,335500000
SC Braga,127450000
FC Famalicão,50400000
Vitória Guimarães SC,47780000
FC Arouca,35400000
Rio Ave FC,31700000
Moreirense FC,25950000
Gil Vicente FC,23230000
Estoril Praia,23050000
Casa Pia AC,20230000
SC Farense,18980000
Avs Futebol,18400000
CF Estrela Amadora,16000000
CD Nacional,15680000
Boavista FC,15600000
CD Santa Clara,15350000
