Club,Value
Inter Milan,677300000
Juventus FC,594200000
AC Milan,562000000
Atalanta BC,447600000
SSC Napoli,429030000
AS Roma,332500000
Bologna FC 1909,276800000
ACF Fiorentina,258300000
SS Lazio,236350000
Torino FC,172030000
Genoa CFC,144400000
Udinese Calcio,128180000
Parma Calcio 1913,125100000
Como 1907,100550000
AC Monza,92680000
US Lecce,92200000
Hellas Verona,88430000
Cagliari Calcio,70350000
FC Empoli,68830000
Venezia FC,57780000
