id, name, type, country, startdate, enddate, logo
2021, Premier League, League, England, 2024-08-16, 2025-05-25, https://www.wikidata.org/wiki/Q9448#/media/File:Premier_League.svg
2002, Bundesliga, League, Germany, 2024-08-23, 2025-05-17, https://www.wikidata.org/wiki/Q82595#/media/File:Bundesliga_logo.svg
2014, La Liga, League, Spain, 2024-08-18, 2025-05-25, https://www.wikidata.org/wiki/Q324867#/media/File:LaLiga_EA_Sports_2023_Vertical_Logo.svg
2019, Serie A, League, Italy, 2024-08-18, 2025-05-25, https://www.wikidata.org/wiki/Q15804#/media/File:Serie_A.svg
2017, Liga Portugal, League, Portugal, 2024-08-11, 2025-05-17, https://www.wikidata.org/wiki/Q981133#/media/File:Símbolo_da_Liga_Portuguesa_de_Futebol_Profissional.png
