league,team,team_uri,coach,coach_uri
Bundesliga,Eintracht Frankfurt,http://www.wikidata.org/entity/Q38245,Dino Toppmöller,http://www.wikidata.org/entity/Q877918
Bundesliga,Borussia Mönchengladbach,http://www.wikidata.org/entity/Q101959,Gerardo Seoane,http://www.wikidata.org/entity/Q339173
Bundesliga,Bayer 04 Leverkusen,http://www.wikidata.org/entity/Q104761,Xabi Alonso,http://www.wikidata.org/entity/Q208104
Bundesliga,FC St. Pauli,http://www.wikidata.org/entity/Q6463,Alexander Blessin,http://www.wikidata.org/entity/Q1560347
Bundesliga,VfL Wolfsburg,http://www.wikidata.org/entity/Q101859,Ralph Hasenhüttl,http://www.wikidata.org/entity/Q874628
Bundesliga,SV Werder Bremen,http://www.wikidata.org/entity/Q51976,Ole Werner,http://www.wikidata.org/entity/Q27050003
Bundesliga,Holstein Kiel,http://www.wikidata.org/entity/Q157828,Marcel Rapp,http://www.wikidata.org/entity/Q1893160
Bundesliga,FC Bayern Munich,http://www.wikidata.org/entity/Q15789,Vincent Kompany,http://www.wikidata.org/entity/Q201381
Bundesliga,SC Freiburg,http://www.wikidata.org/entity/Q106394,Julian Schuster,http://www.wikidata.org/entity/Q66301
La Liga,Girona FC,http://www.wikidata.org/entity/Q11945,Miguel Ángel Sánchez Muñoz,http://www.wikidata.org/entity/Q2637295
La Liga,Cádiz Club de Fútbol,http://www.wikidata.org/entity/Q460448,Gaizka Garitano Aguirre,http://www.wikidata.org/entity/Q742677
La Liga,Deportivo Alavés,http://www.wikidata.org/entity/Q223620,Eduardo Coudet,http://www.wikidata.org/entity/Q2547652
La Liga,CD Leganés,http://www.wikidata.org/entity/Q856119,Borja Jiménez Sáez,http://www.wikidata.org/entity/Q66752039
La Liga,Villarreal CF,http://www.wikidata.org/entity/Q12297,Marcelino García Toral,http://www.wikidata.org/entity/Q1339589
La Liga,Granada CF,http://www.wikidata.org/entity/Q8812,Fran Escribá,http://www.wikidata.org/entity/Q3259945
La Liga,Rayo Vallecano,http://www.wikidata.org/entity/Q10300,Iñigo Pérez,http://www.wikidata.org/entity/Q2499750
La Liga,Valencia CF,http://www.wikidata.org/entity/Q10333,Rubén Baraja,http://www.wikidata.org/entity/Q299488
La Liga,Club Atlético Osasuna,http://www.wikidata.org/entity/Q10286,Vicente Moreno,http://www.wikidata.org/entity/Q3321444
La Liga,Unión Deportiva Las Palmas,http://www.wikidata.org/entity/Q11979,Diego Martínez Penas,http://www.wikidata.org/entity/Q23939734
La Liga,Getafe CF,http://www.wikidata.org/entity/Q8806,José Bordalás,http://www.wikidata.org/entity/Q3323802
La Liga,Real Sociedad,http://www.wikidata.org/entity/Q10315,Imanol Alguacil,http://www.wikidata.org/entity/Q9008053
La Liga,Real Betis Balompié,http://www.wikidata.org/entity/Q8723,Manuel Pellegrini,http://www.wikidata.org/entity/Q296036
La Liga,Atlético de Madrid,http://www.wikidata.org/entity/Q8701,Diego Simeone,http://www.wikidata.org/entity/Q258115
La Liga,RCD Mallorca,http://www.wikidata.org/entity/Q8835,Jagoba Arrasate,http://www.wikidata.org/entity/Q13422032
La Liga,RCD Espanyol de Barcelona,http://www.wikidata.org/entity/Q8780,Manolo González,http://www.wikidata.org/entity/Q107613083
La Liga,Athletic Club,http://www.wikidata.org/entity/Q8687,Ernesto Valverde,http://www.wikidata.org/entity/Q359118
La Liga,RC Celta de Vigo,http://www.wikidata.org/entity/Q8749,Claudio Giráldez González,http://www.wikidata.org/entity/Q20534503
La Liga,Real Madrid CF,http://www.wikidata.org/entity/Q8682,Carlo Ancelotti,http://www.wikidata.org/entity/Q174614
La Liga,Unión Deportiva Almería,http://www.wikidata.org/entity/Q10407,Joan Francesc Ferrer Sicilia,http://www.wikidata.org/entity/Q5573535
La Liga,Sevilla FC,http://www.wikidata.org/entity/Q10329,García Pimienta,http://www.wikidata.org/entity/Q2671442
Serie A,Inter Milan,http://www.wikidata.org/entity/Q631,Simone Inzaghi,http://www.wikidata.org/entity/Q314670
Serie A,Juventus FC,http://www.wikidata.org/entity/Q1422,Thiago Motta,http://www.wikidata.org/entity/Q191885
Serie A,Genoa CFC,http://www.wikidata.org/entity/Q2074,Patrick Vieira,http://www.wikidata.org/entity/Q46347
Serie A,SSC Napoli,http://www.wikidata.org/entity/Q2641,Antonio Conte,http://www.wikidata.org/entity/Q26580
Serie A,Torino FC,http://www.wikidata.org/entity/Q2768,Paolo Vanoli,http://www.wikidata.org/entity/Q3362674
Serie A,Cagliari Calcio,http://www.wikidata.org/entity/Q1900,Davide Nicola,http://www.wikidata.org/entity/Q3019103
Serie A,Hellas Verona FC,http://www.wikidata.org/entity/Q8639,Gabriele Cioffi,http://www.wikidata.org/entity/Q1615609
Serie A,Hellas Verona FC,http://www.wikidata.org/entity/Q8639,Gian Piero Ventura,http://www.wikidata.org/entity/Q2631653
Serie A,Hellas Verona FC,http://www.wikidata.org/entity/Q8639,Marco Baroni,http://www.wikidata.org/entity/Q1317738
Serie A,Parma Calcio 1913,http://www.wikidata.org/entity/Q2693,Fabio Pecchia,http://www.wikidata.org/entity/Q1087530
