league,team,uri
Serie A,U.S. Salernitana 1919,http://www.wikidata.org/entity/Q847587
Serie A,Juventus FC,http://www.wikidata.org/entity/Q1422
Serie A,Como 1907,http://www.wikidata.org/entity/Q1120838
Serie A,U.S. Fiumana,http://www.wikidata.org/entity/Q1328077
Serie A,AC Monza,http://www.wikidata.org/entity/Q289482
Serie A,ACF Fiorentina,http://www.wikidata.org/entity/Q2052
Serie A,U.S. Internazionale Napoli,http://www.wikidata.org/entity/Q728986
Serie A,Società Ginnastica di Torino,http://www.wikidata.org/entity/Q116949682
Serie A,AC Milan,http://www.wikidata.org/entity/Q1543
Serie A,Inter Milan,http://www.wikidata.org/entity/Q631
Serie A,SS Lazio,http://www.wikidata.org/entity/Q2609
Serie A,Parma Calcio 1913,http://www.wikidata.org/entity/Q2693
Serie A,Udinese Calcio,http://www.wikidata.org/entity/Q2798
Serie A,Empoli FC,http://www.wikidata.org/entity/Q6703
Serie A,US Lecce,http://www.wikidata.org/entity/Q13391
Serie A,FC Torinese,http://www.wikidata.org/entity/Q534448
Serie A,Alba Roma 1907,http://www.wikidata.org/entity/Q610482
Serie A,Genoa CFC,http://www.wikidata.org/entity/Q2074
Serie A,SSC Napoli,http://www.wikidata.org/entity/Q2641
Serie A,Cagliari Calcio,http://www.wikidata.org/entity/Q1900
Serie A,A.S. Roma,http://www.wikidata.org/entity/Q2739
Serie A,Torino FC,http://www.wikidata.org/entity/Q2768
